This spreadsheet lists the metadata for ongoing observations for Grade A projects that are in the observing queue as of 2026 March 3.

Column Heading,Units,Description
Project Code,string,ALMA Project code.
Target Name,string,Name of the science target.
RA,[deg],"Target right ascension, in decimal degrees (0 for solar system targets)."
Dec,[deg],"Target declination, in decimal degress (0 for solar system targets)."
RA_HMS,[h:m:s],"Target right ascension, in Hr,Min,Sec."
Dec_DMS,[d:m:s],"Target declination, in Deg, Min, Sec."
Long Offset,"[""]","Right Ascension/galactic-longitude offset in arcsec. Offset is in RA unless Mos.Coord.Ref.Sys is ""galactic""."
Lat Offset,"[""]","Declination/galactic-latitude offset in arcsec. Offset is in declination unless Mos.Coord.Ref.Sys is ""galactic""."
Velocity,[km/s],Target velocity
Vel. Frame,string,Target velocity reference frame.
Vel. Convention,string,"Velocity convention (radio, optical, or relativistic)."
Mosaic,[boolean],"Type of mosaic, either Rectangle, Custom, or N/A; N/A implies there is a single pointing for the target."
Mos. Length,"[""]",If a rectangular mosaic was requested: Length of rectangular area to be mapped as defined in the ALMA Observing Tool (OT).
Mos. Width,"[""]",If a rectangular mosaic was requested: Width of rectangular area to be mapped as defined in the ALMA Observing Tool (OT).
Mos. PA,[deg],If a rectangular mosaic was requested: Position Angle of rectangular area to be mapped as defined in the ALMA Observing Tool (OT).
Mos. Spacing,"[""]",If a rectangular mosaic was requested: Spacing betweeng pointings.
Mos. Coord. Ref. Sys,string,"If the target is a mosaic, this field gives the coordinate system sed to define the mosaic."
Band,string,"ALMA Observing Band, in format ""ALMA_RB"" followed by Band ID."
Req. Ang. Res.,"[""]",Requested angular resolution
Req.LAS,"[""]",Requested largest angular scale
Use 7-m?,[boolean],Indicates if  observations with ACA 7-m Array are requested.
Use TP?,[boolean],Indicates if observations with ACA Total Power Array are requested.
standAlone_ACA,[boolean],Indicates if observations are ACA 7-m Array only.
Polarization,[FULL/DOUBLE/SINGLE],"Polarization products: Full, Dual or Single-X."
Ref.Frequency,[GHz],Reference frequency for user-requested sensitivity.
Ref.Freq.Width,[MHz],Reference bandwidth for user-requested sensitivity.
Req.Sensitivity,[mJy],User-requested sensitivity
Is Sky Freq?,[boolean],"Indicates if the frequencies for the spectral scan and spectral windows  are sky frequencies; If False,  the frequencies represent rest frequencies."
SPS Start Freq.,[GHz],If the observation is a spectral scan: Start frequency of the spectral scan.
SPS End Freq.,[GHz],If the observation is a spectral scan: End frequency of the spectral scan.
SPS Bandwidth,[MHz],If the observation is a spectral scan: bandwidth of each window in the spectral scan.
SPS Spec. Res.,[MHz],If the observation is a spectral scan: spectral resolution of the spectral scan.
Freq SPW [N],[GHz],Central  frequency in GHz for Spectral Window #N (where N = 1-16).
Bandwidth SPW [N],[MHz],Bandwidth of spectral window #N (where N= 1-16).
Spec.Res SPW [N],[MHz],Spectral resolution spectral Window #N (where N = 1-16).

Project Code,Target Name,RA,Dec,RA_HMS,Dec_DMS,Long Offset,Lat Offset,Velocity,Vel. Frame,Vel. Convention,Mosaic,Mos. Length,Mos. Width,Mos. PA,Mos. Spacing,Mos. Coord.,Band,Req. Ang. Res.,Req. LAS,Use 7-m?,Use TP?,Polarization,Ref.Frequency,Ref.Freq.Width,Req.Sensitivity,Is Sky Freq?,SPS Start Freq.,SPS End Freq.,SPS Bandwidth,SPS Spec. Res.,Freq SPW 1,Freq SPW 2,Freq SPW 3,Freq SPW 4,Freq SPW 5,Freq SPW 6,Freq SPW 7,Freq SPW 8,Freq SPW 9,Freq SPW 10,Freq SPW 11,Freq SPW 12,Freq SPW 13,Freq SPW 14,Freq SPW 15,Freq SPW 16,Bandwidth SPW 1,Bandwidth SPW 2,Bandwidth SPW 3,Bandwidth SPW 4,Bandwidth SPW 5,Bandwidth SPW 6,Bandwidth SPW 7,Bandwidth SPW 8,Bandwidth SPW 9,Bandwidth SPW 10,Bandwidth SPW 11,Bandwidth SPW 12,Bandwidth SPW 13,Bandwidth SPW 14,Bandwidth SPW 15,Bandwidth SPW 16,Spec.Res. SPW 1,Spec.Res. SPW 2,Spec.Res. SPW 3,Spec.Res. SPW 4,Spec.Res. SPW 5,Spec.Res. SPW 6,Spec.Res. SPW 7,Spec.Res. SPW 8,Spec.Res. SPW 9,Spec.Res. SPW 10,Spec.Res. SPW 11,Spec.Res. SPW 12,Spec.Res. SPW 13,Spec.Res. SPW 14,Spec.Res. SPW 15,Spec.Res. SPW 16
,,[deg],[deg],,,[arcsec],[arcsec],[kms/s],,,,[arcsec],[arcsec],[deg],[arcsec],Ref. Sys.,,[arcsec],[arcsec],,,,[GHz],[MHz],[mJy],,[GHz],[GHz],[GHz],[MHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz]
2024.1.00750.S,Synthetic continuum 1,201.365,-43.019,16h52m58.90s,2d24m04.0s,0,0,0,lsrk,OPTICAL,,0.0,0.0,0.0,0.0,,ALMA_RB_07,.45,2.0,False,False,FULL,230,7500,.15,True,,,,,226,228,232,234,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,15.6240234375,15.6240234375,15.6240234375,15.6240234375,,,,,,,,,,,,
2024.1.00750.S,Synthetic continuum 2,201.365,-43.019,16h52m58.90s,2d24m04.0s,0,0,0,lsrk,OPTICAL,,0.0,0.0,0.0,0.0,,ALMA_RB_07,.45,2.0,False,False,FULL,230,7500,.3,True,,,,,226,228,232,234,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,15.6240234375,15.6240234375,15.6240234375,15.6240234375,,,,,,,,,,,,
2024.1.00750.S,Synthetic continuum 3,201.365,-43.019,16h52m58.90s,2d24m04.0s,0,0,0,lsrk,OPTICAL,,0.0,0.0,0.0,0.0,,ALMA_RB_07,.45,2.0,False,False,FULL,0,7500,.15,True,,,,,226,228,232,234,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,15.6240234375,15.6240234375,15.6240234375,15.6240234375,,,,,,,,,,,,
2024.1.00750.S,Synthetic continuum 4,201.365,-43.019,16h52m58.90s,2d24m04.0s,0,0,0,lsrk,OPTICAL,,0.0,0.0,0.0,0.0,,ALMA_RB_07,.45,2.0,True,False,FULL,230,7500,.15,True,,,,,226,228,232,234,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,15.6240234375,15.6240234375,15.6240234375,15.6240234375,,,,,,,,,,,,
